Date,CategoricalFeature1,CategoricalFeature2,Activity1,Activity2,Target,Activity3,Activity4,Activity5,Activity6,Activity7,Activity8,Activity9,Activity10,Activity11,Activity12,Activity13,Activity14,Activity15,Activity16
1/2/2015,Cat_1,Cat_9,NA,5676,low,4347,6318,NA,NA,1499,NA,1470,4762,10237,11466,5019,NA,6995,NA
1/2/2015,Cat_3,Cat_9,NA,3124,low,1061,6728,NA,NA,426,NA,1832,2844,4875,8298,3973,NA,2985,NA
1/3/2015,Cat_1,Cat_1,NA,5274,low,4885,4138,NA,NA,44,NA,1170,3215,7403,9084,5274,NA,2980,NA
1/3/2015,Cat_3,Cat_1,NA,919,low,865,959,NA,NA,47,NA,287,643,1651,1992,907,NA,538,NA
1/3/2015,Cat_1,Cat_10,NA,317,low,754,437,NA,NA,330,NA,63,267,614,744,466,NA,273,NA
1/3/2015,Cat_3,Cat_10,NA,89,low,125,82,NA,NA,168,NA,62,95,74,106,60,NA,55,NA
1/3/2015,Cat_1,Cat_11,NA,27,low,32,30,NA,NA,33,NA,NA,29,31,30,27,NA,27,NA
1/3/2015,Cat_1,Cat_2,NA,53597,low,32167,42861,NA,NA,1157,NA,12200,37124,128543,164251,77426,NA,34453,NA
1/3/2015,Cat_3,Cat_2,NA,14292,low,6270,11550,NA,NA,163,NA,2701,11068,32884,45054,21718,NA,11037,NA
1/3/2015,Cat_1,Cat_3,NA,1235,low,1251,1377,NA,NA,58,NA,504,446,1845,2387,1104,NA,549,NA
1/3/2015,Cat_3,Cat_3,NA,379,low,467,359,NA,NA,29,NA,129,130,560,513,416,NA,139,NA
1/3/2015,Cat_1,Cat_4,NA,10288,low,10438,8408,NA,NA,446,NA,2765,6772,13057,15725,8979,NA,8224,NA
1/3/2015,Cat_3,Cat_4,NA,1338,low,1931,1351,NA,NA,64,NA,309,597,1705,2215,1297,NA,741,NA
1/3/2015,Cat_1,Cat_5,NA,68025,high,27536,48258,NA,NA,1068,NA,14928,43008,118431,126472,69300,NA,43723,NA
1/3/2015,Cat_3,Cat_5,NA,19560,low,8914,16447,NA,NA,429,NA,3424,14837,32885,41939,22348,NA,13888,NA
1/3/2015,Cat_1,Cat_6,NA,28,low,28,NA,NA,NA,48,NA,NA,NA,33,29,NA,NA,29,NA
1/3/2015,Cat_4,Cat_6,NA,15955,high,112447,89749,NA,NA,18946,NA,58609,52710,193945,262395,50331,NA,76006,NA
1/3/2015,Cat_1,Cat_7,NA,8663,low,11888,8979,NA,NA,2023,NA,1491,4166,8122,10846,5861,NA,3979,NA
1/3/2015,Cat_3,Cat_7,NA,1661,low,1748,1137,NA,NA,765,NA,280,775,1944,2697,1262,NA,902,NA
1/3/2015,Cat_1,Cat_8,NA,120727,high,49838,71536,NA,NA,2121,NA,23792,81654,224808,264435,130852,NA,139446,NA
1/3/2015,Cat_3,Cat_8,NA,34877,low,15175,27948,NA,NA,812,NA,5704,31907,64759,76978,45763,NA,43556,NA
1/3/2015,Cat_1,Cat_9,NA,6480,low,5727,5615,NA,NA,175,NA,1456,4100,10849,13099,7326,NA,6659,NA
1/3/2015,Cat_3,Cat_9,NA,4535,low,1314,7440,NA,NA,81,NA,1747,3929,6305,8736,4641,NA,3296,NA
1/4/2015,Cat_1,Cat_1,NA,4213,low,3459,3634,NA,NA,29,NA,915,2689,6621,7674,4409,NA,2586,NA
